Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,cogs,gross income,Rating,Hour,Minute,Part_of_Day,Day_of_Week
300-71-4605,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,Ewallet,430.2,21.51,4.8,11,24,Morning,Monday
371-85-5789,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,Ewallet,263.94,13.197,5.1,10,40,Morning,Tuesday
273-16-6619,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,Credit card,66.4,3.32,4.4,12,20,Afternoon,Friday
636-48-8204,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,Ewallet,172.8,8.64,9.9,11,15,Morning,Sunday
549-59-1358,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,Ewallet,265.89,13.2945,6.0,17,36,Evening,Saturday
227-03-5010,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,Credit card,420.72,21.036,8.5,19,20,Evening,Friday
649-29-6775,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,Cash,33.52,1.676,6.7,15,31,Afternoon,Friday
189-17-4241,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,Credit card,175.34,8.767,7.7,12,17,Afternoon,Sunday
145-94-9061,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,Cash,441.8,22.09,9.6,19,48,Evening,Friday
848-62-7243,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,Cash,224.01,11.2005,7.4,15,36,Afternoon,Friday
871-79-8483,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,Credit card,470.65,23.5325,4.8,19,39,Evening,Monday
149-71-6266,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,Cash,702.63,35.1315,4.5,12,43,Afternoon,Monday
640-49-2076,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,Cash,670.24,33.512,5.1,14,49,Afternoon,Thursday
595-11-5460,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,Credit card,193.16,9.658,5.1,10,12,Morning,Friday
183-56-6882,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,Ewallet,397.68,19.884,7.5,10,42,Morning,Wednesday
232-16-2483,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,Ewallet,68.12,3.406,6.8,12,28,Afternoon,Monday
129-29-8530,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,Ewallet,313.1,15.655,7.0,19,15,Evening,Sunday
272-65-1806,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,Ewallet,547.92,27.396,4.7,17,17,Evening,Tuesday
333-73-7901,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,Ewallet,439.36,21.968,7.6,13,24,Afternoon,Saturday
777-82-7220,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,Cash,240.96,12.048,7.7,13,1,Afternoon,Sunday
280-35-5823,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,Ewallet,86.72,4.336,7.9,18,45,Evening,Thursday
554-53-8700,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,Cash,112.22,5.611,6.3,10,11,Morning,Saturday
354-25-5821,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,Cash,414.72,20.736,5.6,13,3,Afternoon,Friday
228-96-1411,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,Cash,789.6,39.48,7.6,20,39,Evening,Monday
617-15-4209,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,Cash,30.74,1.537,7.2,19,47,Evening,Saturday
132-32-9879,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,Cash,375.84,18.792,9.5,18,0,Evening,Saturday
370-41-7321,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,Credit card,510.21,25.5105,8.4,17,24,Evening,Wednesday
727-46-3608,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,Ewallet,180.09,9.0045,4.1,15,47,Afternoon,Wednesday
669-54-1719,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,Credit card,113.58,5.679,8.1,12,45,Afternoon,Sunday
574-22-5561,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,Ewallet,826.3,41.315,7.9,17,8,Evening,Tuesday
326-78-5178,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,Cash,639.8,31.99,9.5,10,19,Morning,Sunday
162-48-8011,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,Cash,222.95,11.1475,8.5,15,10,Afternoon,Sunday
616-24-2851,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,Ewallet,71.48,3.574,6.5,14,42,Afternoon,Friday
778-71-5554,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,Credit card,15.43,0.7715,6.1,15,46,Afternoon,Friday
242-55-6721,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,Ewallet,32.32,1.616,6.5,11,49,Morning,Thursday
399-46-5918,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,Cash,687.84,34.392,8.2,19,1,Evening,Thursday
106-35-6779,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,Cash,88.68,4.434,5.8,11,26,Morning,Wednesday
635-40-6220,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,Ewallet,716.8,35.84,6.6,11,28,Morning,Thursday
817-48-8732,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,Cash,723.5,36.175,5.4,15,55,Afternoon,Sunday
120-06-4233,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,Cash,183.66,9.183,9.3,20,36,Evening,Tuesday
285-68-5083,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,Credit card,74.22,3.711,10.0,17,47,Evening,Friday
803-83-5989,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,Ewallet,334.38,16.719,7.0,10,55,Morning,Sunday
347-34-2234,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,Ewallet,495.63,24.7815,10.0,13,40,Afternoon,Sunday
199-75-8169,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,Credit card,158.1,7.905,8.6,12,27,Afternoon,Wednesday
853-23-2453,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,Cash,302.96,15.148,7.6,14,35,Afternoon,Thursday
877-22-3308,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,Cash,158.7,7.935,5.8,16,40,Afternoon,Wednesday
838-78-4295,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,Ewallet,66.94,3.347,6.7,15,43,Afternoon,Sunday
109-28-2512,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,Ewallet,585.66,29.283,9.9,15,1,Afternoon,Monday
232-11-3025,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,Cash,787.7,39.385,6.4,10,4,Morning,Thursday
382-03-4532,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,Cash,18.33,0.9165,4.3,18,50,Evening,Saturday
393-65-2792,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,Credit card,894.8,44.74,9.6,12,46,Afternoon,Sunday
796-12-2025,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,Cash,621.2,31.06,5.9,16,19,Afternoon,Monday
510-95-6347,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,Ewallet,145.56,7.278,4.0,18,17,Evening,Tuesday
841-35-6630,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,Cash,455.46,22.773,8.7,18,21,Evening,Saturday
287-21-9091,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,Ewallet,672.03,33.6015,9.4,10,55,Morning,Tuesday
732-94-0499,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,Credit card,416.5,20.825,5.4,17,4,Evening,Sunday
263-10-3913,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,Credit card,441.36,22.068,8.6,14,20,Afternoon,Wednesday
381-20-0914,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,Credit card,180.09,9.0045,5.7,15,48,Afternoon,Saturday
829-49-1914,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,Ewallet,783.1,39.155,6.6,16,24,Afternoon,Tuesday
756-01-7507,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,Cash,101.9,5.095,6.0,18,56,Evening,Tuesday
870-72-4431,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,Credit card,595.14,29.757,5.5,14,42,Afternoon,Monday
847-38-7188,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,Ewallet,290.04,14.502,6.4,19,56,Evening,Saturday
480-63-2856,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,Ewallet,154.0,7.7,6.6,18,37,Evening,Wednesday
787-56-0757,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,Credit card,321.44,16.072,8.3,18,45,Evening,Saturday
360-39-5055,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,Cash,244.55,12.2275,6.6,10,17,Morning,Saturday
730-50-9884,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,Ewallet,581.42,29.071,4.0,14,31,Afternoon,Tuesday
362-58-8315,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,Cash,382.6,19.13,9.9,10,23,Morning,Monday
633-44-8566,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,Credit card,345.66,17.283,7.3,20,35,Evening,Wednesday
504-35-8843,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,Cash,42.47,2.1235,5.7,16,57,Afternoon,Wednesday
318-68-5053,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,Cash,461.94,23.097,6.1,17,55,Evening,Wednesday
565-80-5980,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,Cash,189.52,9.476,7.1,10,25,Morning,Wednesday
225-32-0908,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,Ewallet,448.6,22.43,8.2,19,54,Evening,Saturday
873-51-0671,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,Ewallet,153.86,7.693,5.1,16,42,Afternoon,Thursday
152-08-9985,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,Credit card,579.24,28.962,8.6,12,9,Afternoon,Tuesday
512-91-0811,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,Credit card,89.75,4.4875,6.6,20,5,Evening,Wednesday
594-34-4444,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,Ewallet,97.16,4.858,7.2,20,38,Evening,Friday
766-85-7061,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,Ewallet,878.7,43.935,5.1,10,25,Morning,Friday
871-39-9221,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,Cash,74.7,3.735,4.1,13,11,Afternoon,Saturday
865-92-6136,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,Ewallet,158.25,7.9125,9.3,10,16,Morning,Saturday
733-01-9107,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,Cash,496.2,24.81,7.4,18,14,Evening,Tuesday
163-56-7055,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,Cash,48.71,2.4355,4.1,19,20,Evening,Tuesday
189-98-2939,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,Cash,706.95,35.3475,7.2,13,22,Afternoon,Friday
551-21-3069,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,Cash,207.63,10.3815,4.9,11,27,Morning,Friday
212-62-1842,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,Cash,349.56,17.478,9.9,16,44,Afternoon,Thursday
716-39-1409,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,Cash,212.45,10.6225,8.0,18,19,Evening,Tuesday
704-48-3927,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,Ewallet,886.7,44.335,7.3,14,50,Afternoon,Saturday
628-34-3388,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,Credit card,164.28,8.214,7.9,20,54,Evening,Saturday
630-74-5166,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,Cash,372.78,18.639,7.4,20,19,Evening,Friday
588-01-7461,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,Cash,305.82,15.291,4.2,10,43,Morning,Sunday
861-77-0145,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,Cash,819.7,40.985,9.2,14,30,Afternoon,Sunday
479-26-8945,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,Ewallet,32.98,1.649,4.6,11,32,Morning,Tuesday
210-67-5886,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,Credit card,294.63,14.7315,7.8,10,41,Morning,Tuesday
227-78-1148,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,Cash,509.88,25.494,8.4,12,44,Afternoon,Friday
645-44-1170,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,Ewallet,522.63,26.1315,4.3,20,7,Evening,Saturday
237-01-6122,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,Credit card,727.11,36.3555,9.5,20,31,Evening,Friday
225-98-1496,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,Credit card,81.06,4.053,7.1,13,1,Afternoon,Saturday
291-32-1427,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,Ewallet,109.7,5.485,5.3,12,29,Afternoon,Tuesday
659-65-8956,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,Ewallet,51.36,2.568,5.2,15,26,Afternoon,Wednesday
642-32-2990,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,Ewallet,109.6,5.48,6.0,20,48,Evening,Saturday
378-24-2715,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,Ewallet,106.88,5.344,4.1,20,38,Evening,Sunday
638-60-7125,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,Credit card,796.48,39.824,5.2,17,3,Evening,Thursday
659-36-1684,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,Credit card,399.84,19.992,6.5,12,2,Afternoon,Saturday
219-22-9386,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,Credit card,899.64,44.982,4.2,17,26,Evening,Saturday
336-78-2147,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,Credit card,511.28,25.564,4.6,19,52,Evening,Wednesday
268-27-6179,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,Ewallet,451.76,22.588,7.3,14,57,Afternoon,Saturday
668-90-8900,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,Credit card,655.83,32.7915,4.5,18,44,Evening,Sunday
870-54-3162,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,Cash,161.25,8.0625,9.0,13,26,Afternoon,Sunday
189-08-9157,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,Credit card,285.57,14.2785,5.9,16,17,Afternoon,Tuesday
663-86-9076,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,Ewallet,548.32,27.416,8.5,15,57,Afternoon,Tuesday
549-84-7482,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,Ewallet,812.52,40.626,7.2,11,15,Morning,Friday
191-10-6171,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,Cash,277.34,13.867,7.5,13,18,Afternoon,Friday
802-70-5316,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,Cash,552.78,27.639,8.3,20,34,Evening,Wednesday
695-51-0018,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,Cash,139.36,6.968,7.4,18,36,Evening,Sunday
590-83-4591,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,Credit card,524.7,26.235,8.8,14,40,Afternoon,Sunday
483-71-1164,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,Ewallet,487.8,24.39,5.3,16,43,Afternoon,Friday
597-78-7908,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,Cash,270.66,13.533,6.2,19,39,Evening,Monday
700-81-1757,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,Credit card,131.55,6.5775,8.8,20,59,Evening,Friday
354-39-5160,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,Cash,206.52,10.326,9.8,15,39,Afternoon,Monday
241-72-9525,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2019-02-16,Cash,519.1,25.955,8.2,12,21,Afternoon,Saturday
575-30-8091,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,Ewallet,580.0,29.0,9.2,19,25,Evening,Saturday
731-81-9469,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,Credit card,898.0,44.9,5.4,13,0,Afternoon,Wednesday
280-17-4359,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,Cash,905.0,45.25,8.1,13,48,Afternoon,Friday
338-65-2210,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,Cash,686.0,34.3,9.1,19,57,Evening,Tuesday
488-25-4221,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,Credit card,30.41,1.5205,8.4,10,36,Morning,Friday
239-10-7476,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,Ewallet,467.7,23.385,8.0,16,37,Afternoon,Monday
458-41-1477,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,Credit card,277.56,13.878,9.5,17,11,Evening,Friday
685-64-1609,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,Ewallet,301.4,15.07,9.2,12,28,Afternoon,Sunday
568-90-5112,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,2019-03-19,Credit card,264.56,13.228,5.6,12,46,Afternoon,Tuesday
262-47-2794,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,Credit card,574.88,28.744,6.2,15,7,Afternoon,Wednesday
238-49-0436,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,2019-03-27,Credit card,259.68,12.984,4.9,13,48,Afternoon,Wednesday
608-96-3517,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,Credit card,366.16,18.308,4.8,19,20,Evening,Saturday
584-86-7256,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.016,2019-03-11,Credit card,241.92,12.096,7.3,16,7,Afternoon,Monday
746-94-0204,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,Credit card,749.16,37.458,7.4,11,56,Morning,Tuesday
214-17-6927,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2019-02-07,Ewallet,98.88,4.944,9.9,18,23,Evening,Thursday
400-89-4171,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,Cash,647.76,32.388,9.3,13,5,Afternoon,Monday
782-95-9291,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,Credit card,461.45,23.0725,9.0,15,55,Afternoon,Wednesday
279-74-2924,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,Cash,72.17,3.6085,6.1,19,40,Evening,Friday
307-85-2293,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,Ewallet,251.4,12.57,9.7,13,58,Afternoon,Thursday
743-04-1105,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,Ewallet,874.98,43.749,6.0,14,43,Afternoon,Saturday
423-57-2993,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,2019-03-27,Ewallet,560.34,28.017,10.0,19,18,Evening,Wednesday
894-41-5205,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,362.712,2019-01-19,Credit card,345.44,17.272,8.3,19,39,Evening,Saturday
275-28-0149,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2019-02-25,Cash,63.69,3.1845,6.0,16,21,Afternoon,Monday
101-17-6199,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,2019-03-13,Credit card,320.53,16.0265,7.0,19,44,Evening,Wednesday
423-80-0988,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,Ewallet,152.8,7.64,6.5,19,42,Evening,Wednesday
548-46-9322,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2019-02-20,Credit card,399.0,19.95,5.9,15,24,Afternoon,Wednesday
505-02-0892,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,357.588,2019-02-25,Ewallet,340.56,17.028,5.6,14,12,Afternoon,Monday
234-65-2137,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,Cash,955.8,47.79,4.8,13,32,Afternoon,Wednesday
687-47-8271,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,Credit card,989.8,49.49,8.7,16,20,Afternoon,Friday
796-32-9050,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,Cash,307.68,15.384,6.5,16,31,Afternoon,Saturday
105-31-1824,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,2019-02-01,Credit card,486.64,24.332,8.5,15,10,Afternoon,Friday
249-42-3782,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-01-03,Ewallet,350.05,17.5025,5.5,11,36,Morning,Thursday
316-55-4634,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,2019-01-26,Credit card,400.25,20.0125,9.4,12,45,Afternoon,Saturday
